subject,latitude,longitude
Inspectional Services,42.3458,-71.1005
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.3379,-71.0801
Inspectional Services,42.3092,-71.0841
Inspectional Services,42.3104,-71.1127
Inspectional Services,42.3512,-71.1471
Inspectional Services,42.2791,-71.0966
Inspectional Services,42.3452,-71.1431
Inspectional Services,42.3351,-71.0262
Inspectional Services,42.2703,-71.1478
Inspectional Services,42.3224,-71.1092
Inspectional Services,42.3859,-71.0761
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.323,-71.1039
Inspectional Services,42.3566,-71.1518
Parks & Recreation Department,42.3543,-71.0655
Parks & Recreation Department,42.3436,-71.0678
Parks & Recreation Department,42.3436,-71.0678
Parks & Recreation Department,42.3594,-71.0587
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3594,-71.0587
Parks & Recreation Department,42.3384,-71.0815
Parks & Recreation Department,42.3346,-71.0384
Parks & Recreation Department,42.3431,-71.0683
Parks & Recreation Department,42.3029,-71.0733
Inspectional Services,42.3436,-71.0894
Parks & Recreation Department,42.3763,-71.0366
Inspectional Services,42.3923,-71.0064
Inspectional Services,42.2741,-71.0721
Inspectional Services,42.376,-71.0647
Inspectional Services,42.3394,-71.0828
Inspectional Services,42.3203,-71.1055
Parks & Recreation Department,42.3712,-71.0441
Inspectional Services,42.3284,-71.0533
Inspectional Services,42.3446,-71.1007
Parks & Recreation Department,42.3749,-71.0578
Inspectional Services,42.3698,-71.0403
Parks & Recreation Department,42.3442,-71.0789
Inspectional Services,42.3104,-71.0594
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3361,-71.1075
Inspectional Services,42.3279,-71.0673
Inspectional Services,42.2825,-71.097
Inspectional Services,42.3302,-71.0879
Inspectional Services,42.3594,-71.0587
Parks & Recreation Department,42.3472,-71.1594
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.2787,-71.0832
Parks & Recreation Department,42.3394,-71.072
Parks & Recreation Department,42.3456,-71.0737
Inspectional Services,42.3524,-71.083
Inspectional Services,42.3261,-71.0636
Inspectional Services,42.3453,-71.1451
Inspectional Services,42.2912,-71.064
Inspectional Services,42.3145,-71.0661
Parks & Recreation Department,42.3182,-71.0968
Inspectional Services,42.3502,-71.091
Parks & Recreation Department,42.3841,-71.015
Parks & Recreation Department,42.3845,-71.0139
Parks & Recreation Department,42.3877,-71.0042
Parks & Recreation Department,42.3882,-71.002
Parks & Recreation Department,42.381,-71.0148
Parks & Recreation Department,42.3916,-71.0096
Inspectional Services,42.3594,-71.0587
Parks & Recreation Department,42.3916,-71.0088
Parks & Recreation Department,42.3909,-71.0005
Parks & Recreation Department,42.3804,-71.0383
Inspectional Services,42.3379,-71.0747
Inspectional Services,42.2518,-71.1314
Inspectional Services,42.3303,-71.0564
Inspectional Services,42.2699,-71.0906
Inspectional Services,42.2585,-71.1259
Inspectional Services,42.2646,-71.1026
Inspectional Services,42.3486,-71.0378
Inspectional Services,42.3444,-71.0955
Inspectional Services,42.3386,-71.1475
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3516,-71.1273
Inspectional Services,42.3559,-71.0657
Inspectional Services,42.3535,-71.1279
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3248,-71.1088
Inspectional Services,42.2647,-71.1202
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.3235,-71.0761
Inspectional Services,42.3124,-71.0681
Inspectional Services,42.349,-71.1311
Inspectional Services,42.3794,-71.0647
Inspectional Services,42.3254,-71.1117
Inspectional Services,42.2689,-71.1492
Inspectional Services,42.3292,-71.0897
Parks & Recreation Department,42.3594,-71.0587
Parks & Recreation Department,42.3843,-71.0144
Inspectional Services,42.3491,-71.0408
Parks & Recreation Department,42.3594,-71.0587
